Year,m,d,Time,Time zone,Diffuse radiation (W/m2),Reflected radiation (W/m2),Sunshine duration (s)
2017,4,1,00:00,UTC,0,-2.9,0
2017,4,1,01:00,UTC,0,-2.7,0
2017,4,1,02:00,UTC,0,-3.4,0
2017,4,1,03:00,UTC,0,-3.5,0
2017,4,1,04:00,UTC,26.4,0.8,35
2017,4,1,05:00,UTC,33.9,0.9,0
2017,4,1,06:00,UTC,25.3,-1.5,0
2017,4,1,07:00,UTC,53.9,0.5,0
2017,4,1,08:00,UTC,61.1,3.1,0
2017,4,1,09:00,UTC,47.3,0.5,0
2017,4,1,10:00,UTC,31.8,-1.3,0
2017,4,1,11:00,UTC,38,-1.3,0
2017,4,1,12:00,UTC,40.4,-1,0
2017,4,1,13:00,UTC,33.5,-1.2,0
2017,4,1,14:00,UTC,21,-0.6,0
2017,4,1,15:00,UTC,9.9,-1.9,0
2017,4,1,16:00,UTC,4.3,-3.8,0
2017,4,1,17:00,UTC,0.2,-4.3,0
2017,4,1,18:00,UTC,0,-4.5,0
2017,4,1,19:00,UTC,0,-5,0
2017,4,1,20:00,UTC,0,-5.5,0
2017,4,1,21:00,UTC,0,-4.7,0
2017,4,1,22:00,UTC,0,-4.5,0
2017,4,1,23:00,UTC,0,-4,0
2017,4,2,00:00,UTC,0,-4.6,0
2017,4,2,01:00,UTC,0,-4.5,0
2017,4,2,02:00,UTC,0,-4.9,0
2017,4,2,03:00,UTC,0,-4.2,0
2017,4,2,04:00,UTC,4.4,-4,0
2017,4,2,05:00,UTC,27,-1.6,0
2017,4,2,06:00,UTC,66.6,3.1,0
2017,4,2,07:00,UTC,105.2,8.6,0
2017,4,2,08:00,UTC,127.1,11.6,0
2017,4,2,09:00,UTC,74.9,4,0
2017,4,2,10:00,UTC,223.3,22.3,0
2017,4,2,11:00,UTC,216.9,23.8,0
2017,4,2,12:00,UTC,242.6,26.3,0
2017,4,2,13:00,UTC,123.6,12.7,0
2017,4,2,14:00,UTC,78.9,5.6,0
2017,4,2,15:00,UTC,82.1,5.6,0
2017,4,2,16:00,UTC,31.1,0.1,0
2017,4,2,17:00,UTC,5.8,-3,0
2017,4,2,18:00,UTC,0,-2.9,0
2017,4,2,19:00,UTC,0,-2.4,0
2017,4,2,20:00,UTC,0,-3.4,0
2017,4,2,21:00,UTC,0,-3.4,0
2017,4,2,22:00,UTC,0,-3.8,0
2017,4,2,23:00,UTC,0,-4.2,0
2017,4,3,00:00,UTC,0,-3.7,0
2017,4,3,01:00,UTC,0,-3.7,0
2017,4,3,02:00,UTC,0,-3,0
2017,4,3,03:00,UTC,0,-3.6,0
2017,4,3,04:00,UTC,3,-2.8,0
2017,4,3,05:00,UTC,30.1,-0.2,0
2017,4,3,06:00,UTC,61.5,2.9,0
2017,4,3,07:00,UTC,130.9,9.1,0
2017,4,3,08:00,UTC,171.2,14.3,0
2017,4,3,09:00,UTC,182,14.4,0
2017,4,3,10:00,UTC,68.6,4.2,0
2017,4,3,11:00,UTC,86,6.3,0
2017,4,3,12:00,UTC,122.7,12.2,0
2017,4,3,13:00,UTC,77.3,6.9,0
2017,4,3,14:00,UTC,85.3,8.3,0
2017,4,3,15:00,UTC,80.1,7.9,0
2017,4,3,16:00,UTC,30,1.2,0
2017,4,3,17:00,UTC,1.3,-2.4,0
2017,4,3,18:00,UTC,0,-3.1,0
2017,4,3,19:00,UTC,0,-2.9,0
2017,4,3,20:00,UTC,0,-3.1,0
2017,4,3,21:00,UTC,0,-3.9,0
2017,4,3,22:00,UTC,0,-3.5,0
2017,4,3,23:00,UTC,0,-3.6,0
2017,4,4,00:00,UTC,0,-3.6,0
2017,4,4,01:00,UTC,0,-3.5,0
2017,4,4,02:00,UTC,0,-3.7,0
2017,4,4,03:00,UTC,0.2,-3.2,0
2017,4,4,04:00,UTC,6,-3.7,0
2017,4,4,05:00,UTC,70.6,3.5,0
2017,4,4,06:00,UTC,84.7,5,0
2017,4,4,07:00,UTC,124.7,10.2,0
2017,4,4,08:00,UTC,175.1,16,0
2017,4,4,09:00,UTC,229.3,21.8,0
2017,4,4,10:00,UTC,320.2,34.6,0
2017,4,4,11:00,UTC,197.9,18.3,0
2017,4,4,12:00,UTC,264.1,26.1,0
2017,4,4,13:00,UTC,76.1,61.4,60
2017,4,4,14:00,UTC,67,36.9,60
2017,4,4,15:00,UTC,107,37.1,60
2017,4,4,16:00,UTC,31.1,3.9,60
2017,4,4,17:00,UTC,8.1,-3.8,0
2017,4,4,18:00,UTC,0,-5,0
2017,4,4,19:00,UTC,0,-5.2,0
2017,4,4,20:00,UTC,0,-5.1,0
2017,4,4,21:00,UTC,0,-4.8,0
2017,4,4,22:00,UTC,0,-4.9,0
2017,4,4,23:00,UTC,0,-4.7,0
2017,4,5,00:00,UTC,0,-4.3,0
2017,4,5,01:00,UTC,0,-4.4,0
2017,4,5,02:00,UTC,0,-4.4,0
2017,4,5,03:00,UTC,0,-4.6,0
2017,4,5,04:00,UTC,0.8,-4.5,0
2017,4,5,05:00,UTC,5.5,-3.8,0
2017,4,5,06:00,UTC,11.3,-3,0
2017,4,5,07:00,UTC,27.7,-2.5,5
2017,4,5,08:00,UTC,104.3,5.5,0
2017,4,5,09:00,UTC,152.2,9.4,0
2017,4,5,10:00,UTC,106.5,6.8,0
2017,4,5,11:00,UTC,71.7,3.7,0
2017,4,5,12:00,UTC,210.3,20,0
2017,4,5,13:00,UTC,224.2,23.7,0
2017,4,5,14:00,UTC,152.9,61.1,60
2017,4,5,15:00,UTC,47.4,32.1,60
2017,4,5,16:00,UTC,34.4,12.7,60
2017,4,5,17:00,UTC,11.1,-1.5,0
2017,4,5,18:00,UTC,0,-3.7,0
2017,4,5,19:00,UTC,0,-3.1,0
2017,4,5,20:00,UTC,0,-2.9,0
2017,4,5,21:00,UTC,0,-3.4,0
2017,4,5,22:00,UTC,0.1,-3.7,0
2017,4,5,23:00,UTC,0,-2.9,0
2017,4,6,00:00,UTC,0,-3.2,0
2017,4,6,01:00,UTC,0,-3.1,0
2017,4,6,02:00,UTC,0,-3,0
2017,4,6,03:00,UTC,0,-2.6,0
2017,4,6,04:00,UTC,14.6,2.3,35
2017,4,6,05:00,UTC,32.1,17.1,60
2017,4,6,06:00,UTC,39.5,34.2,60
2017,4,6,07:00,UTC,64.7,24.4,60
2017,4,6,08:00,UTC,54.5,72.5,60
2017,4,6,09:00,UTC,50.8,82.7,60
2017,4,6,10:00,UTC,96,67.8,60
2017,4,6,11:00,UTC,204,109.8,60
2017,4,6,12:00,UTC,148.2,91.1,60
2017,4,6,13:00,UTC,135.2,17.1,60
2017,4,6,14:00,UTC,69.9,57,60
2017,4,6,15:00,UTC,44.6,2.5,0
2017,4,6,16:00,UTC,68.1,9.8,60
2017,4,6,17:00,UTC,12.6,-3.2,0
2017,4,6,18:00,UTC,0,-5.2,0
2017,4,6,19:00,UTC,0.1,-4.9,0
2017,4,6,20:00,UTC,0.1,-4.5,0
2017,4,6,21:00,UTC,0.2,-4.3,0
2017,4,6,22:00,UTC,0,-4.1,0
2017,4,6,23:00,UTC,0,-3.6,0
2017,4,7,00:00,UTC,0,-3.4,0
2017,4,7,01:00,UTC,0,-3,0
2017,4,7,02:00,UTC,0.3,-3.7,0
2017,4,7,03:00,UTC,0,-3.9,0
2017,4,7,04:00,UTC,33.9,1.6,0
2017,4,7,05:00,UTC,61.2,3.9,0
2017,4,7,06:00,UTC,100.8,9.3,0
2017,4,7,07:00,UTC,200.8,20.7,0
2017,4,7,08:00,UTC,238.7,27.6,0
2017,4,7,09:00,UTC,250.2,26.5,0
2017,4,7,10:00,UTC,273.8,28.6,0
2017,4,7,11:00,UTC,318.5,39.9,0
2017,4,7,12:00,UTC,210.5,21.7,0
2017,4,7,13:00,UTC,122.9,9.9,0
2017,4,7,14:00,UTC,93.5,6,0
2017,4,7,15:00,UTC,88.6,6,0
2017,4,7,16:00,UTC,22.1,-1.6,0
2017,4,7,17:00,UTC,8.3,-1.7,0
2017,4,7,18:00,UTC,0,-3.1,0
2017,4,7,19:00,UTC,0.8,-2.4,0
2017,4,7,20:00,UTC,0,-2.3,0
2017,4,7,21:00,UTC,0,-2.8,0
2017,4,7,22:00,UTC,0.1,-2.8,0
2017,4,7,23:00,UTC,0.1,-3.2,0
2017,4,8,00:00,UTC,0,-2.8,0
2017,4,8,01:00,UTC,0,-3.5,0
2017,4,8,02:00,UTC,0,-3.8,0
2017,4,8,03:00,UTC,0,-3.7,0
2017,4,8,04:00,UTC,37.4,9.5,60
2017,4,8,05:00,UTC,77.3,12.4,60
2017,4,8,06:00,UTC,67.1,42.6,60
2017,4,8,07:00,UTC,70.6,22.6,60
2017,4,8,08:00,UTC,351.6,58.4,60
2017,4,8,09:00,UTC,347.1,46.4,20
2017,4,8,10:00,UTC,343.5,44,0
2017,4,8,11:00,UTC,211.2,65.3,60
2017,4,8,12:00,UTC,275.4,31.2,0
